17-8-8 14:33:11.5|Info|MigrationLogger|*** 11: remove_ignored migrating ***
17-8-8 14:33:11.5|Info|remove_ignored|Starting migration to 11
17-8-8 14:33:11.6|Info|MigrationLogger|*** 12: remove_custom_start_date migrating ***
17-8-8 14:33:11.6|Info|remove_custom_start_date|Starting migration to 12
17-8-8 14:33:11.7|Info|MigrationLogger|*** 13: add_air_date_utc migrating ***
17-8-8 14:33:11.7|Info|add_air_date_utc|Starting migration to 13
17-8-8 14:33:11.7|Info|MigrationLogger|*** 14: drop_air_date migrating ***
17-8-8 14:33:11.7|Info|drop_air_date|Starting migration to 14
17-8-8 14:33:11.8|Info|MigrationLogger|*** 15: add_air_date_as_string migrating ***
17-8-8 14:33:11.8|Info|add_air_date_as_string|Starting migration to 15
17-8-8 14:33:11.8|Info|MigrationLogger|*** 16: updated_imported_history_item migrating ***
17-8-8 14:33:11.8|Info|updated_imported_history_item|Starting migration to 16
17-8-8 14:33:11.8|Info|MigrationLogger|*** 17: reset_scene_names migrating ***
17-8-8 14:33:11.8|Info|reset_scene_names|Starting migration to 17
17-8-8 14:33:11.9|Info|MigrationLogger|*** 18: remove_duplicates migrating ***
17-8-8 14:33:11.9|Info|remove_duplicates|Starting migration to 18
17-8-8 14:33:12.0|Info|MigrationLogger|*** 19: restore_unique_constraints migrating ***
17-8-8 14:33:12.0|Info|restore_unique_constraints|Starting migration to 19
17-8-8 14:33:12.0|Info|MigrationLogger|*** 20: add_year_and_seasons_to_series migrating ***
17-8-8 14:33:12.0|Info|add_year_and_seasons_to_series|Starting migration to 20
17-8-8 14:33:12.1|Info|MigrationLogger|*** 21: drop_seasons_table migrating ***
17-8-8 14:33:12.1|Info|drop_seasons_table|Starting migration to 21
17-8-8 14:33:12.1|Info|MigrationLogger|*** 22: move_indexer_to_generic_provider migrating ***
17-8-8 14:33:12.1|Info|move_indexer_to_generic_provider|Starting migration to 22
17-8-8 14:33:12.1|Info|MigrationLogger|*** 23: add_config_contract_to_indexers migrating ***
17-8-8 14:33:12.1|Info|add_config_contract_to_indexers|Starting migration to 23
17-8-8 14:33:12.3|Info|MigrationLogger|*** 24: drop_tvdb_episodeid migrating ***
17-8-8 14:33:12.3|Info|drop_tvdb_episodeid|Starting migration to 24
17-8-8 14:33:12.3|Info|MigrationLogger|*** 25: move_notification_to_generic_provider migrating ***
17-8-8 14:33:12.3|Info|move_notification_to_generic_provider|Starting migration to 25
17-8-8 14:33:12.4|Info|MigrationLogger|*** 26: add_config_contract_to_notifications migrating ***
17-8-8 14:33:12.4|Info|add_config_contract_to_notifications|Starting migration to 26
17-8-8 14:33:12.4|Info|MigrationLogger|*** 27: fix_omgwtfnzbs migrating ***
17-8-8 14:33:12.4|Info|fix_omgwtfnzbs|Starting migration to 27
17-8-8 14:33:12.4|Info|MigrationLogger|*** 28: add_blacklist_table migrating ***
17-8-8 14:33:12.5|Info|add_blacklist_table|Starting migration to 28
17-8-8 14:33:12.5|Info|MigrationLogger|*** 29: add_formats_to_naming_config migrating ***
17-8-8 14:33:12.5|Info|add_formats_to_naming_config|Starting migration to 29
17-8-8 14:33:12.6|Info|MigrationLogger|*** 30: add_season_folder_format_to_naming_config migrating ***
17-8-8 14:33:12.6|Info|add_season_folder_format_to_naming_config|Starting migration to 30
17-8-8 14:33:12.6|Info|MigrationLogger|*** 31: delete_old_naming_config_columns migrating ***
17-8-8 14:33:12.6|Info|delete_old_naming_config_columns|Starting migration to 31
